출처,포함여부,분류,서비스,이슈,가격언급,제목,근거,URL
DC인사이드,포함,핵심 불편·문제,스튜디오·촬영,일정·예약 관리,,웨딩촬영 보통 몇시간함?,웨딩촬영 보통 몇시간함? / 웨딩촬영 보통 몇시간함?,https://gall.dcinside.com/board/view/?id=wedding&no=77526
DC인사이드,포함,핵심 불편·문제,스튜디오·촬영,선택 피로·정보 부족,,웨딩촬영 안해서 셀프로 찍으러 다녀야되는데 막막하네,웨딩촬영 안해서 셀프로 찍으러 다녀야되는데 막막하네 웨딩촬영 안해서 셀프로 찍으러 다녀야되는데 막막하네 앱에서 작성 햄모리 2026.06.17 23:24:33 스크랩 조회 189 추천 0 댓글 2 사진도 잘 안 찍고 다녀서 사진감각 없는데 어케 찍지 화장할줄도 모르는데 청첩장사진을 쌩얼로 박을수도 없고 추천검색 추천 비추천 0 0 개념 추…,https://gall.dcinside.com/board/view/?id=wedding&no=77545
DC인사이드,포함,핵심 불편·문제,예물·혼수,계약·취소·환불,,지독한 회피형 부케공방 사장님ㅋ(제발 널리 소문나라!!),그리고 이건 내 스레드보고 어떤 사람이 직접 사장님한테 뭐라고 따져주셨는데 그때 받은 답장이래ㅋㅋ 환불이던지 다시 만들어주던지??,https://gall.dcinside.com/board/view/?id=wedding&no=75005
DC인사이드,포함,핵심 불편·문제,"웨딩홀, 스튜디오·촬영, 드레스, 메이크업, 스드메·패키지",예상 밖 추가비용,,지방 결혼 비용 정리,"[홀] 홀대관 +스드메 패키지 370 = 3,700,000 [식대] 보증인원 150명 인당 46,000 = 69,000,000 [add on] 헬퍼비용 본식 12 웨딩촬영15~25 27 부모님들 한복 총 40 부모님들 메이크업 총 34 신혼여행(비행기, 숙소) 700 결혼반지 +@ = 8,010,000+@ Total 18,610,000 +…",https://gall.dcinside.com/board/view/?id=wedding&no=75575
DC인사이드,포함,핵심 불편·문제,스드메·패키지,가격·견적 정보,,펌) 1시간에 수 천만 원…결혼식 차라리 안 할게요,펌) 1시간에 수 천만 원…결혼식 차라리 안 할게요 펌) 1시간에 수 천만 원…결혼식 차라리 안 할게요 결갤러 (121.171) 2026.03.11 16:48:58 스크랩 조회 198 추천 1 댓글 0 ㄷㄷ ?si=IUyHiQhAoEgoQXmt 1시간에 수천만 원…결혼식 차라리 안 할게요｜크랩 #크랩 #스드메 #결혼식 갈수록 오르는 결혼식…,https://gall.dcinside.com/board/view/?id=wedding&no=71905
DC인사이드,포함,핵심 불편·문제,스튜디오·촬영,"예상 밖 추가비용, 가격·견적 정보","50만 원, 95만 원",펌) 결혼식 끝났는데 또 추가금이라고요??,펌) 결혼식 끝났는데 또 추가금이라고요?? / 펌) 결혼식 끝났는데 또 추가금이라고요?? / 결갤러 (115.89) 2026.07.18 20:02:26 스크랩 조회 93 추천 0 댓글 0 ㄷㄷ ?si=9s5ELtr1u98HiFVL 결혼식 끝났는데 또 추가금이라고요?? / 결혼 관련 컨텐츠는 저번 결혼식 비용 총정리가 마지막일거라고 했는데.…,https://gall.dcinside.com/board/view/?id=wedding&no=79073
DC인사이드,포함,핵심 불편·문제,"플래너, 스드메·패키지",가격·견적 정보,1000만원,펌) 결혼식 비용 총 정리 💸1000만원 이내💸,"펌) 결혼식 비용 총 정리 💸1000만원 이내💸 펌) 결혼식 비용 총 정리 💸1000만원 이내💸 결갤러 (115.89) 2026.07.09 23:19:45 스크랩 조회 338 추천 0 댓글 0 결혼식 비용 총 정리 💸1000만원 이내💸 후회되는점,스드메가격,멍청비용 아끼는방법,웨딩플래너는?! / 결혼식 비용 총 정리 !!!",https://gall.dcinside.com/board/view/?id=wedding&no=78632
DC인사이드,제외,분석 제외,스드메·패키지,,,"""결혼식은 안 해도 되죠?""…'스드메 생략' 노웨딩 번진다",구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=69651
DC인사이드,제외,분석 제외,드레스,,,(보지 필독) 남자들은 개추 눌러라,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=74481
DC인사이드,제외,분석 제외,,,,20대 후반 여자 계약입주결혼 현실적으로 수요가 있을까요?,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=71341
DC인사이드,제외,분석 제외,,가격·견적 정보,,30대 한녀의 결혼 못하는이유 결갤 분석 꾸준글,30대 한녀의 결혼 못하는이유 결갤 분석 꾸준글 30대 한녀의 결혼 못하는이유 결갤 분석 꾸준글 결갤러 (121.150) 2026.02.07 12:10:32 스크랩 조회 1321 추천 21 댓글 21 국결 인구수 상승 : 결혼10커플중 1커플 비중 현재10% 계속 상승중 노산의 위험성 강조 추세: 아이 생각있는 남자들은 중요한 부분 맞벌이…,https://gall.dcinside.com/board/view/?id=wedding&no=70224
DC인사이드,제외,분석 제외,,,,30살 동갑여친이 전업하라니까 월 1500벌란다.,구체적인 웨딩 준비 이슈를 확인하기 어려움,https://gall.dcinside.com/board/view/?id=wedding&no=73539
DC인사이드,제외,분석 제외,웨딩홀,일정·예약 관리,,40대 미혼틀딱남. 결정사 3개월만에 결혼예정임,"대기업 사무직 - 6살 연하 - 날씬하고, 운동 신경좋고, 생활력 좋고 - mbti도 거의 일치하고 - 본인 능력으로 서울 자가 주택까지 마련 - 예식장 잡자고 먼저 얘기 꺼내는 추진력에 반함 - 직장도, 집도 가깝고 두루두루 다 맞음 - 미혼 틀딱 아조씨 올해 결혼 예정^^ 추천검색 추천 비추천 2 0 개념 추천 개념 비추천 1 실베추…",https://gall.dcinside.com/board/view/?id=wedding&no=71427
DC인사이드,제외,분석 제외,웨딩홀,,8만원,“축의금 달랑 8만원…모르는 사람 4명이 밥 먹고 갔습니다”,“축의금 달랑 8만원…모르는 사람 4명이 밥 먹고 갔습니다” “축의금 달랑 8만원…모르는 사람 4명이 밥 먹고 갔습니다” 결갤러 (121.171) 2026.07.03 11:51:45 스크랩 조회 233 추천 0 댓글 0 ㄷㄷ “축의금 달랑 8만원…모르는 사람 4명이 밥 먹고 갔습니다” 최근 결혼식을 올린 신랑 A씨는 하객들이 남긴 축의금…,https://gall.dcinside.com/board/view/?id=wedding&no=78339
DC인사이드,제외,분석 제외,,,,강원대수학과졸업한 94년생남자,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=75913
DC인사이드,제외,분석 제외,,,,걍 여기 오는 한녀들 미래 이거라니까,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=79045
DC인사이드,제외,분석 제외,메이크업,,,결갤 아줌마든 도태한남이든 다 결혼할걸,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=76752
DC인사이드,제외,분석 제외,,계약·취소·환불,360만원,결정사 사기당한거같다,결정사 사기당한거같다 결정사 사기당한거같다 모바일에서 작성 결갤러 (118.235) 2026.04.18 23:14:04 스크랩 조회 774 추천 8 댓글 10 결정사 유튜버 운영하는 업체인데 360만원짜리 가입했는데 2002년 2001년 2003년 뭐 이런 애들만 매칭되고 3번 만나고 4번째 만남은 좀 멀어서 나만 계속 이동하다보니까 급…,https://gall.dcinside.com/board/view/?id=wedding&no=74115
DC인사이드,제외,분석 제외,,,"150만원, 500만원, 5500만원, 600만원",결정사 여자들 눈높이 알려준다.,"모바일에서 작성 ㅋㅋㅋ (175.223) 2026.03.02 09:47:44 스크랩 조회 346 추천 4 댓글 8 만 39살, 남자, 인서울하위권 공대, 순자산 경기도 다가구주택 8~9억, 수입 월세 500만원, 직업 편의점 자영업, 부모님 초등교사 은퇴 연금 월 600만원, 부모님 순자산 50억 이상(부동산), 누나 독립생계유지 1.36…",https://gall.dcinside.com/board/view/?id=wedding&no=71408
DC인사이드,제외,분석 제외,,,"150만원, 500만원, 5500만원, 600만원",결정사 한녀 눈높이 알려준다,"결정사 한녀 눈높이 알려준다 결정사 한녀 눈높이 알려준다 모바일에서 작성 ㅋㅋㅋ (175.223) 2026.03.02 16:30:14 스크랩 조회 455 추천 4 댓글 4 만 39살, 남자, 인서울하위권 공대, 순자산 경기도 다가구주택 8~9억, 수입 월세 500만원, 직업 전직 공무원, 현재 편의점 자영업, 부모님 초등교사 은퇴 연금 월…",https://gall.dcinside.com/board/view/?id=wedding&no=71447
DC인사이드,제외,분석 제외,,,,결정사에서 안받아준다,웨딩 준비와 무관한 결혼 일반 담론,https://gall.dcinside.com/board/view/?id=wedding&no=72486
